Date,High,Low,Open,Close,Marketcap,Symbol,Name
201801,24.912,7.959,15.021,15.064,15869530654.803,BNB,Binance Coin
201802,11.871,5.59,9.611,9.587,1293455213.4,BNB,Binance Coin
201803,14.839,7.174,9.942,9.945,3789180754.6,BNB,Binance Coin
201804,15.926,10.378,12.929,13.021,2637313241.507,BNB,Binance Coin
201805,16.221,11.703,13.495,13.489,3945815163.997,BNB,Binance Coin
201806,17.438,13.544,15.317,15.316,2751836966.406,BNB,Binance Coin
201807,14.869,11.648,13.262,13.221,1189178718.582,BNB,Binance Coin
201808,14.455,8.663,11.422,11.34,1018351676.43,BNB,Binance Coin
201809,11.542,9.037,10.097,10.053,406614452.86,BNB,Binance Coin
201901,7.247,5.493,6.322,6.321,597330960.144,BNB,Binance Coin
201902,11.324,6.172,8.956,9.101,1653763565.521,BNB,Binance Coin
201903,17.568,10.326,14.82,15.06,5526195186.733,BNB,Binance Coin
201904,25.533,16.589,20.545,20.704,10154155377.94,BNB,Binance Coin
201905,35.505,18.467,26.638,26.986,26357935125.523,BNB,Binance Coin
201906,39.567,29.184,33.861,33.849,29194174324.748,BNB,Binance Coin
201907,34.313,24.904,30.289,30.123,24427370249.958,BNB,Binance Coin
201908,31.302,21.19,27.545,27.334,12657716627.396,BNB,Binance Coin
201909,23.535,14.841,20.369,20.186,8694868248.383,BNB,Binance Coin
202001,18.841,12.99,16.143,16.287,7174762600.598,BNB,Binance Coin
202002,27.117,17.824,21.886,21.926,19799655332.317,BNB,Binance Coin
202003,21.702,6.963,14.312,14.085,14781947873.951,BNB,Binance Coin
202004,18.13,12.058,15.028,15.181,9342719034.075,BNB,Binance Coin
202005,18.108,14.284,16.613,16.613,8211093818.117,BNB,Binance Coin
202006,18.156,15.021,16.626,16.571,6235705127.802,BNB,Binance Coin
202007,20.838,15.245,17.642,17.812,6780567085.526,BNB,Binance Coin
202008,23.914,19.973,22.455,22.531,8546589374.939,BNB,Binance Coin
202009,33.488,18.184,25.307,25.505,38331439714.603,BNB,Binance Coin
202101,47.098,35.171,41.53,41.75,41951631775.067,BNB,Binance Coin
202102,342.88,43.524,151.808,157.668,6165985197089.807,BNB,Binance Coin
202103,316.487,209.951,257.716,260.716,2745921739665.74,BNB,Binance Coin
202104,637.442,301.589,478.565,489.268,9202318616869.113,BNB,Binance Coin
202105,690.932,213.516,503.145,494.575,6066343554628.571,BNB,Binance Coin
