Date,High,Low,Open,Close,Marketcap,Symbol,Name
201801,0.019,0.005,0.01,0.01,5410164.852,DOGE,Dogecoin
201802,0.008,0.003,0.006,0.006,894377.198,DOGE,Dogecoin
201803,0.006,0.003,0.004,0.004,142178.546,DOGE,Dogecoin
201804,0.006,0.003,0.004,0.004,246417.608,DOGE,Dogecoin
201805,0.006,0.003,0.004,0.004,285198.295,DOGE,Dogecoin
201806,0.004,0.002,0.003,0.003,85008.66,DOGE,Dogecoin
201807,0.004,0.002,0.003,0.003,169456.392,DOGE,Dogecoin
201808,0.005,0.002,0.003,0.003,374080.401,DOGE,Dogecoin
201809,0.007,0.004,0.006,0.006,1343818.917,DOGE,Dogecoin
201901,0.002,0.002,0.002,0.002,52047.562,DOGE,Dogecoin
201902,0.002,0.002,0.002,0.002,57492.813,DOGE,Dogecoin
201903,0.002,0.002,0.002,0.002,50231.725,DOGE,Dogecoin
201904,0.004,0.002,0.003,0.003,674274.248,DOGE,Dogecoin
201905,0.004,0.002,0.003,0.003,350069.037,DOGE,Dogecoin
201906,0.004,0.003,0.003,0.003,299742.06,DOGE,Dogecoin
201907,0.004,0.003,0.003,0.003,840183.128,DOGE,Dogecoin
201908,0.003,0.002,0.003,0.003,114020.08,DOGE,Dogecoin
201909,0.003,0.002,0.002,0.002,176584.766,DOGE,Dogecoin
202001,0.003,0.002,0.002,0.002,331372.43,DOGE,Dogecoin
202002,0.004,0.002,0.003,0.003,772779.852,DOGE,Dogecoin
202003,0.003,0.001,0.002,0.002,637453.868,DOGE,Dogecoin
202004,0.003,0.002,0.002,0.002,802872.01,DOGE,Dogecoin
202005,0.003,0.002,0.003,0.003,790016.619,DOGE,Dogecoin
202006,0.003,0.002,0.002,0.002,534159.897,DOGE,Dogecoin
202007,0.005,0.002,0.003,0.003,6649350.814,DOGE,Dogecoin
202008,0.004,0.003,0.003,0.003,572103.698,DOGE,Dogecoin
202009,0.003,0.003,0.003,0.003,529274.937,DOGE,Dogecoin
202101,0.078,0.005,0.012,0.013,1980778675.175,DOGE,Dogecoin
202102,0.085,0.029,0.056,0.056,1211403545.569,DOGE,Dogecoin
202103,0.063,0.048,0.055,0.055,224097915.595,DOGE,Dogecoin
202104,0.438,0.054,0.18,0.19,30381059794.734,DOGE,Dogecoin
202105,0.738,0.218,0.44,0.44,34029894942.186,DOGE,Dogecoin
