Date,High,Low,Open,Close,Marketcap,Symbol,Name
201801,13596.89,13517.81,13274.181,13270.667,1636180356343.785,GDAXI,DAX Composite Index
201802,13301.41,12971.78,12489.109,12459.364,2724884320865.088,GDAXI,DAX Composite Index
201803,12459.9,12361.01,12177.053,12165.939,2651966444997.639,GDAXI,DAX Composite Index
201804,12647.16,12563.74,12402.74,12411.598,1515848145865.088,GDAXI,DAX Composite Index
201805,13204.31,13061.77,12917.425,12911.162,2433673092537.13,GDAXI,DAX Composite Index
201806,13170.05,13010.54,12685.044,12667.554,3393533319567.605,GDAXI,DAX Composite Index
201807,12886.83,12815.12,12568.811,12581.672,1475031725688.832,GDAXI,DAX Composite Index
201808,12833.11,12706.34,12478.031,12458.921,1325299688754.165,GDAXI,DAX Composite Index
201809,12458.3,12373.95,12185.552,12185.245,4985380526788.574,GDAXI,DAX Composite Index
201810,12373.29,12263.1,11690.004,11659.084,1760639983635.744,GDAXI,DAX Composite Index
201811,11689.96,11532.34,11398.861,11359.625,1402418778489.288,GDAXI,DAX Composite Index
201812,11566.97,11457.61,10869.71,10834.545,2500341624170.206,GDAXI,DAX Composite Index
201901,11321.62,11218.35,10944.039,10968.887,1348785362728.032,GDAXI,DAX Composite Index
201902,11556.87,11480.49,11268.689,11280.836,1248393912728.616,GDAXI,DAX Composite Index
201903,11823.29,11652.02,11543.872,11542.592,2222630736394.5,GDAXI,DAX Composite Index
201904,12376.06,12281.72,12031.881,12067.978,1347162549131.511,GDAXI,DAX Composite Index
201905,12435.67,12344.23,12093.811,12079.57,1767092529261.104,GDAXI,DAX Composite Index
201906,12438.37,12355.39,12127.327,12164.201,2620636469071.764,GDAXI,DAX Composite Index
201907,12656.05,12616.29,12425.59,12406.857,1467304446821.97,GDAXI,DAX Composite Index
201908,12254.03,12129.33,11732.537,11719.75,1699369311395.168,GDAXI,DAX Composite Index
201909,12494.25,12418.5,12269.456,12285.253,2411315284500.0,GDAXI,DAX Composite Index
201910,12986.49,12897.34,12527.878,12538.202,1309947269500.1,GDAXI,DAX Composite Index
201911,13374.27,13227.37,13186.388,13200.83,1566134986524.718,GDAXI,DAX Composite Index
201912,13425.85,13338.38,13209.094,13193.276,2292104008137.952,GDAXI,DAX Composite Index
202001,13640.06,13510.79,13372.576,13370.524,1458174200259.366,GDAXI,DAX Composite Index
202002,13795.24,13754.04,13336.877,13330.551,3788499914351.45,GDAXI,DAX Composite Index
202003,12272.99,11929.24,10100.917,10034.257,4792320406039.71,GDAXI,DAX Composite Index
202004,11235.57,10839.3,10393.336,10374.507,1828402557485.354,GDAXI,DAX Composite Index
202005,11813.14,11654.83,10959.745,10993.741,2015326349545.86,GDAXI,DAX Composite Index
202006,12913.13,12670.95,12288.987,12313.648,2943873367018.976,GDAXI,DAX Composite Index
202007,13313.9,13147.3,12765.914,12740.956,1382741752804.23,GDAXI,DAX Composite Index
202008,13221.82,13087.37,12877.764,12882.408,1025570325075.615,GDAXI,DAX Composite Index
202009,13460.46,13181.56,12985.742,12960.896,2501775894671.556,GDAXI,DAX Composite Index
202010,13151.8,13058.34,12627.682,12603.101,1804301991833.805,GDAXI,DAX Composite Index
202011,13445.11,13274.89,12889.358,12960.691,2544730490234.835,GDAXI,DAX Composite Index
202012,13903.11,13747.08,13423.066,13425.95,2179619806101.235,GDAXI,DAX Composite Index
202101,14131.52,14007.71,13841.836,13823.259,1486982076784.485,GDAXI,DAX Composite Index
202102,14169.49,14074.25,13952.762,13951.164,1474610346541.962,GDAXI,DAX Composite Index
202103,15029.7,14973.59,14455.51,14508.143,3117779045128.24,GDAXI,DAX Composite Index
202104,15501.84,15368.14,15262.13,15236.427,1282901261478.72,GDAXI,DAX Composite Index
202105,15568.6,15465.09,15312.811,15305.75,1859167914507.058,GDAXI,DAX Composite Index
