Date,High,Low,Open,Close,Marketcap,Symbol,Name
201801,16421.4,16344.9,16287.455,16272.464,410190652983821.7,GSPTSE,S&P/TSX Composite Index
201802,15922.6,15818.0,15454.195,15430.632,462439423569245.56,GSPTSE,S&P/TSX Composite Index
201803,15791.2,15694.3,15500.729,15490.395,755243837021376.0,GSPTSE,S&P/TSX Composite Index
201804,15702.6,15631.9,15385.205,15380.424,362628612197519.4,GSPTSE,S&P/TSX Composite Index
201805,16238.8,16139.8,15948.345,15964.4,468944060913180.06,GSPTSE,S&P/TSX Composite Index
201806,16489.5,16438.1,16253.457,16253.252,738895649264999.9,GSPTSE,S&P/TSX Composite Index
201807,16586.5,16539.199,16427.624,16432.562,371157769150000.0,GSPTSE,S&P/TSX Composite Index
201808,16494.1,16416.1,16345.636,16332.427,468703921803580.6,GSPTSE,S&P/TSX Composite Index
201809,16300.7,16211.0,16146.342,16125.61,811020962575750.0,GSPTSE,S&P/TSX Composite Index
201810,16193.1,16069.7,15494.955,15441.173,629942503649255.1,GSPTSE,S&P/TSX Composite Index
201811,15393.1,15293.3,15130.405,15144.005,522178270898076.75,GSPTSE,S&P/TSX Composite Index
201812,15378.9,15154.7,14623.137,14546.8,944796286321486.2,GSPTSE,S&P/TSX Composite Index
201901,15564.6,15486.5,14983.664,15031.886,457135714757614.2,GSPTSE,S&P/TSX Composite Index
201902,16115.8,16051.0,15796.479,15811.205,541862826275614.8,GSPTSE,S&P/TSX Composite Index
201903,16275.3,16188.1,16124.248,16119.562,1034359102100755.2,GSPTSE,S&P/TSX Composite Index
201904,16672.699,16589.801,16455.752,16470.4,555829944967570.56,GSPTSE,S&P/TSX Composite Index
201905,16604.9,16493.801,16303.082,16316.764,657880673834671.2,GSPTSE,S&P/TSX Composite Index
201906,16603.9,16548.4,16325.655,16322.645,820131395473621.0,GSPTSE,S&P/TSX Composite Index
201907,16641.801,16557.9,16515.227,16515.041,441807692033494.6,GSPTSE,S&P/TSX Composite Index
201908,16505.9,16377.7,16239.124,16243.067,523842478789305.2,GSPTSE,S&P/TSX Composite Index
201909,16947.199,16864.199,16677.7,16683.245,849275333455844.4,GSPTSE,S&P/TSX Composite Index
201910,16707.5,16429.6,16418.45,16403.164,397443189325000.0,GSPTSE,S&P/TSX Composite Index
201911,17120.9,17077.801,16904.414,16925.995,560839777824467.9,GSPTSE,S&P/TSX Composite Index
201912,17230.6,17145.0,17024.315,17019.96,802603052893761.0,GSPTSE,S&P/TSX Composite Index
202001,17666.5,17558.0,17360.346,17381.996,584609748095000.1,GSPTSE,S&P/TSX Composite Index
202002,17970.5,17860.6,17558.311,17542.689,1060653593064999.9,GSPTSE,S&P/TSX Composite Index
202003,16798.199,16539.4,13804.75,13757.132,1222724626970556.5,GSPTSE,S&P/TSX Composite Index
202004,15257.9,15002.1,14055.99,14071.476,680565830259622.4,GSPTSE,S&P/TSX Composite Index
202005,15342.4,15226.9,14919.905,14903.835,1217516281492961.0,GSPTSE,S&P/TSX Composite Index
202006,15980.1,15847.9,15500.509,15480.882,1508581168756541.2,GSPTSE,S&P/TSX Composite Index
202007,16317.9,16173.0,15938.027,15942.482,389601294341523.0,GSPTSE,S&P/TSX Composite Index
202008,16835.1,16681.4,16589.14,16584.29,424880371884269.75,GSPTSE,S&P/TSX Composite Index
202009,16725.699,16650.0,16269.681,16234.705,890616889603240.1,GSPTSE,S&P/TSX Composite Index
202010,16611.0,16518.4,16252.686,16226.724,460891629870000.0,GSPTSE,S&P/TSX Composite Index
202011,17411.0,17316.801,16723.405,16743.605,829908547360000.0,GSPTSE,S&P/TSX Composite Index
202012,17684.1,17605.5,17524.891,17520.948,856897901246222.5,GSPTSE,S&P/TSX Composite Index
202101,18058.6,17948.301,17853.745,17830.675,560771887829369.06,GSPTSE,S&P/TSX Composite Index
202102,18579.699,18452.5,18228.632,18250.079,747911485732700.5,GSPTSE,S&P/TSX Composite Index
202103,19037.1,18854.699,18652.665,18658.1,1147059115448986.8,GSPTSE,S&P/TSX Composite Index
202104,19439.801,19293.801,19172.724,19168.876,463459041649769.44,GSPTSE,S&P/TSX Composite Index
202105,19909.6,19841.0,19428.45,19442.905,925953866797915.1,GSPTSE,S&P/TSX Composite Index
