Date,High,Low,Open,Close,Marketcap,Symbol,Name
201801,33484.078,32897.039,31765.725,31831.893,133910991860118.1,HSI,Hang Seng Index
201802,33048.039,32642.09,31076.067,30969.274,182797630316210.12,HSI,Hang Seng Index
201803,31978.141,31461.471,30885.377,30898.114,112639655455665.11,HSI,Hang Seng Index
201804,31094.109,30723.07,30441.916,30376.019,71263438805974.94,HSI,Hang Seng Index
201805,31592.561,31423.57,30770.791,30698.678,129845537593717.97,HSI,Hang Seng Index
201806,31521.131,31369.279,30152.133,30070.32,112339261511534.11,HSI,Hang Seng Index
201807,29083.4,28764.35,28489.528,28466.138,95486506735186.47,HSI,Hang Seng Index
201808,28772.801,28296.99,27968.058,27925.754,61522307619484.27,HSI,Hang Seng Index
201809,28031.811,27672.83,27302.868,27275.606,80169268232556.44,HSI,Hang Seng Index
201810,27716.16,27073.08,25788.107,25705.362,85655307388295.42,HSI,Hang Seng Index
201811,26923.33,26399.811,26021.831,26080.989,94742627776922.3,HSI,Hang Seng Index
201812,27260.439,27006.83,26079.296,26075.628,74339041187293.58,HSI,Hang Seng Index
201901,28010.9,27773.98,26674.281,26711.563,75094198768347.88,HSI,Hang Seng Index
201902,29014.189,28763.461,28364.165,28392.371,102071117693471.19,HSI,Hang Seng Index
201903,29486.15,29319.51,28863.216,28900.017,88428953225149.84,HSI,Hang Seng Index
201904,30280.119,30018.98,29884.05,29881.955,77098679172063.9,HSI,Hang Seng Index
201905,30081.551,29678.859,28161.697,28132.275,91559562046919.97,HSI,Hang Seng Index
201906,28634.48,28416.961,27704.139,27718.043,65066977552602.91,HSI,Hang Seng Index
201907,29007.98,28776.48,28469.017,28465.3,61219390544849.37,HSI,Hang Seng Index
201908,27754.039,27495.891,25975.242,25987.114,76375424205925.02,HSI,Hang Seng Index
201909,27366.449,27074.539,26481.526,26474.27,73575371942620.81,HSI,Hang Seng Index
201910,27027.561,26762.699,26453.56,26458.149,56656572452546.484,HSI,Hang Seng Index
201911,27900.801,27582.289,26989.651,26979.036,67419274588465.84,HSI,Hang Seng Index
201912,28418.65,28165.131,27219.217,27264.285,62867610508831.24,HSI,Hang Seng Index
202001,29174.92,28813.131,28303.323,28214.347,65250341496842.266,HSI,Hang Seng Index
202002,28055.58,27766.711,27169.026,27214.744,89537313323510.1,HSI,Hang Seng Index
202003,26805.58,26315.359,24081.346,24107.046,150872462588879.8,HSI,Hang Seng Index
202004,24855.471,24549.619,23998.459,24008.817,71583198853456.33,HSI,Hang Seng Index
202005,24766.83,24470.18,23852.382,23807.575,91166431566032.12,HSI,Hang Seng Index
202006,25303.779,24968.301,24477.174,24478.383,65009174224059.83,HSI,Hang Seng Index
202007,26782.619,26016.75,25410.977,25316.152,130789757542869.56,HSI,Hang Seng Index
202008,25847.109,25360.029,25139.978,25100.191,82591289845867.52,HSI,Hang Seng Index
202009,25254.141,24995.449,24324.484,24253.175,85706116017773.42,HSI,Hang Seng Index
202010,24970.59,24683.25,24446.514,24440.389,90032400562297.98,HSI,Hang Seng Index
202011,27040.41,26704.6,26142.13,26119.76,155267660267370.62,HSI,Hang Seng Index
202012,27340.99,27163.51,26533.542,26524.837,101273417414466.1,HSI,Hang Seng Index
202101,30191.16,29745.869,28615.79,28662.92,171101878916205.44,HSI,Hang Seng Index
202102,31183.359,30570.551,29940.703,29869.769,151125015335880.12,HSI,Hang Seng Index
202103,29912.0,29317.609,28929.215,28836.266,146775375263200.0,HSI,Hang Seng Index
202104,29405.119,29162.869,28886.574,28875.072,75794173434893.5,HSI,Hang Seng Index
202105,29336.131,29033.721,28538.523,28537.134,111622657796411.3,HSI,Hang Seng Index
