Date,High,Low,Open,Close,Marketcap,Symbol,Name
201801,7505.77,7455.55,7266.52,7279.498,18070441553950.8,IXIC,NASDAQ Composite Index
201802,7441.09,7362.28,7167.508,7161.773,23484005136765.56,IXIC,NASDAQ Composite Index
201803,7637.27,7563.44,7325.145,7311.507,23270685378239.8,IXIC,NASDAQ Composite Index
201804,7319.58,7259.9,7101.215,7084.142,17528418000188.94,IXIC,NASDAQ Composite Index
201805,7492.42,7431.41,7319.598,7339.327,18840514060060.42,IXIC,NASDAQ Composite Index
201806,7806.6,7755.48,7644.268,7645.139,30666979428977.32,IXIC,NASDAQ Composite Index
201807,7933.31,7838.76,7751.303,7756.864,17953635995221.13,IXIC,NASDAQ Composite Index
201808,8133.3,8079.31,7876.032,7892.233,18862179576769.65,IXIC,NASDAQ Composite Index
201809,8104.07,8042.14,7986.835,7983.307,30040328104999.68,IXIC,NASDAQ Composite Index
201810,8107.38,8019.77,7565.365,7527.084,26629094594707.65,IXIC,NASDAQ Composite Index
201811,7572.93,7499.71,7227.929,7236.081,21885086644924.16,IXIC,NASDAQ Composite Index
201812,7486.51,7392.22,6858.923,6814.292,33944733660215.92,IXIC,NASDAQ Composite Index
201901,7303.12,7205.95,6948.26,6979.656,21315689716689.07,IXIC,NASDAQ Composite Index
201902,7602.69,7551.61,7415.218,7430.077,20124928489022.277,IXIC,NASDAQ Composite Index
201903,7850.11,7705.43,7629.433,7629.367,27060820218634.97,IXIC,NASDAQ Composite Index
201904,8176.08,8136.41,7986.209,7994.921,20335628130802.38,IXIC,NASDAQ Composite Index
201905,8164.71,8084.8,7797.426,7804.821,20581355928389.97,IXIC,NASDAQ Composite Index
201906,8088.88,8011.2,7827.177,7825.459,32994460153958.168,IXIC,NASDAQ Composite Index
201907,8339.64,8291.12,8203.717,8205.599,22242319319594.88,IXIC,NASDAQ Composite Index
201908,8311.04,8080.52,7922.241,7910.933,23209825964913.348,IXIC,NASDAQ Composite Index
201909,8243.8,8176.73,8093.096,8087.7,27694056188920.902,IXIC,NASDAQ Composite Index
201910,8335.56,8285.27,8077.649,8079.278,20798554816681.2,IXIC,NASDAQ Composite Index
201911,8705.91,8664.04,8506.511,8517.577,22600803942280.68,IXIC,NASDAQ Composite Index
201912,9052.0,8987.32,8772.968,8778.592,34628063920000.0,IXIC,NASDAQ Composite Index
202001,9451.43,9375.13,9225.23,9233.36,26921168780408.56,IXIC,NASDAQ Composite Index
202002,9838.37,9777.1,9419.153,9418.85,52154872513136.89,IXIC,NASDAQ Composite Index
202003,9070.32,8757.66,7748.395,7772.206,47527934220901.22,IXIC,NASDAQ Composite Index
202004,8957.27,8825.83,8282.738,8292.407,39219762932264.74,IXIC,NASDAQ Composite Index
202005,9523.64,9345.28,9092.621,9105.655,44856914160458.88,IXIC,NASDAQ Composite Index
202006,10221.85,10112.44,9828.109,9839.971,74407194336600.3,IXIC,NASDAQ Composite Index
202007,10839.93,10650.46,10491.728,10499.863,57578996530857.51,IXIC,NASDAQ Composite Index
202008,11829.84,11697.42,11188.407,11212.291,50915394074563.2,IXIC,NASDAQ Composite Index
202009,12074.06,11836.18,11119.768,11088.68,69373803330753.3,IXIC,NASDAQ Composite Index
202010,11965.54,11821.83,11455.092,11435.234,52176335621422.0,IXIC,NASDAQ Composite Index
202011,12244.65,12154.57,11786.199,11794.462,94203360649937.7,IXIC,NASDAQ Composite Index
202012,12973.33,12857.76,12605.31,12619.051,91963655738193.6,IXIC,NASDAQ Composite Index
202101,13728.98,13603.19,13195.814,13186.606,152421337814815.22,IXIC,NASDAQ Composite Index
202102,14175.12,13995.45,13733.606,13737.404,144097892335866.0,IXIC,NASDAQ Composite Index
202103,13620.71,13397.08,13190.962,13168.812,106237587682111.6,IXIC,NASDAQ Composite Index
202104,14211.57,14064.28,13889.213,13900.438,68987794218645.4,IXIC,NASDAQ Composite Index
202105,14042.12,13881.51,13529.395,13520.229,82186422744342.0,IXIC,NASDAQ Composite Index
