Date,High,Low,Open,Close,Marketcap,Symbol,Name
201801,2607.1,2587.55,2522.55,2522.904,1341613710.431,KS11,Korean Composite Stock Price Index
201802,2583.74,2564.59,2446.121,2439.104,1537583668.049,KS11,Korean Composite Stock Price Index
201803,2508.71,2485.34,2450.851,2451.57,1257616303.449,KS11,Korean Composite Stock Price Index
201804,2515.38,2500.22,2457.409,2458.225,1877228006.683,KS11,Korean Composite Stock Price Index
201805,2516.57,2501.71,2468.294,2461.301,2055786088.549,KS11,Korean Composite Stock Price Index
201806,2479.56,2466.01,2398.274,2394.508,1520466228.179,KS11,Korean Composite Stock Price Index
201807,2327.59,2299.79,2288.778,2284.254,1081165595.876,KS11,Korean Composite Stock Price Index
201808,2322.88,2305.46,2282.913,2283.797,817886006.804,KS11,Korean Composite Stock Price Index
201809,2356.62,2337.47,2305.939,2307.326,913190295.338,KS11,Korean Composite Stock Price Index
201810,2352.11,2333.32,2162.83,2153.477,1056567860.064,KS11,Korean Composite Stock Price Index
201811,2136.74,2108.9,2081.494,2083.108,1036746243.148,KS11,Korean Composite Stock Price Index
201812,2136.64,2113.6,2070.037,2070.129,1148230278.498,KS11,Korean Composite Stock Price Index
201901,2222.88,2201.22,2098.675,2101.984,1228363423.346,KS11,Korean Composite Stock Price Index
201902,2241.76,2228.16,2212.176,2210.199,1285425189.734,KS11,Korean Composite Stock Price Index
201903,2216.02,2188.56,2164.546,2161.915,857821349.742,KS11,Korean Composite Stock Price Index
201904,2252.05,2242.01,2210.938,2212.12,1295153983.18,KS11,Korean Composite Stock Price Index
201905,2217.03,2192.36,2090.786,2086.898,1652130777.611,KS11,Korean Composite Stock Price Index
201906,2141.27,2123.97,2101.864,2105.303,2156687164.144,KS11,Korean Composite Stock Price Index
201907,2147.24,2126.87,2084.399,2079.48,1828160127.486,KS11,Korean Composite Stock Price Index
201908,2032.23,2009.33,1944.716,1944.238,1579449140.456,KS11,Korean Composite Stock Price Index
201909,2101.63,2085.91,2041.015,2045.205,1369422031.763,KS11,Korean Composite Stock Price Index
201910,2105.17,2089.76,2069.59,2065.748,1275943489.724,KS11,Korean Composite Stock Price Index
201911,2165.89,2151.97,2130.366,2128.273,1790974352.522,KS11,Korean Composite Stock Price Index
201912,2215.55,2196.43,2144.535,2147.013,1481538317.766,KS11,Korean Composite Stock Price Index
202001,2277.23,2258.09,2207.549,2203.442,2080932755.724,KS11,Korean Composite Stock Price Index
202002,2255.49,2230.3,2166.166,2167.123,3531195128.344,KS11,Korean Composite Stock Price Index
202003,2089.08,2059.99,1794.281,1786.746,2250983784.045,KS11,Korean Composite Stock Price Index
202004,1957.51,1934.31,1844.272,1849.589,3884091361.842,KS11,Korean Composite Stock Price Index
202005,2054.52,2019.82,1963.488,1965.174,2421868199.576,KS11,Korean Composite Stock Price Index
202006,2217.21,2178.12,2134.89,2134.697,3089238638.661,KS11,Korean Composite Stock Price Index
202007,2281.41,2263.81,2197.627,2195.949,2546509743.774,KS11,Korean Composite Stock Price Index
202008,2458.17,2412.49,2354.817,2349.873,4050572397.472,KS11,Korean Composite Stock Price Index
202009,2450.53,2429.94,2375.036,2371.516,3502542570.45,KS11,Korean Composite Stock Price Index
202010,2418.89,2393.74,2360.252,2357.821,2819216170.292,KS11,Korean Composite Stock Price Index
202011,2648.66,2618.47,2496.545,2504.181,4367375328.897,KS11,Korean Composite Stock Price Index
202012,2878.21,2809.35,2746.468,2755.771,5120047699.623,KS11,Korean Composite Stock Price Index
202101,3266.23,3142.8,3087.556,3089.267,5857656846.132,KS11,Korean Composite Stock Price Index
202102,3180.94,3145.84,3094.63,3092.412,10991737966.126,KS11,Korean Composite Stock Price Index
202103,3096.5,3061.4,3032.192,3032.469,6925941550.0,KS11,Korean Composite Stock Price Index
202104,3223.05,3203.25,3163.813,3164.855,6397109737.255,KS11,Korean Composite Stock Price Index
202105,3255.9,3201.46,3168.296,3168.237,4633796740.526,KS11,Korean Composite Stock Price Index
202106,3233.17,3199.18,3207.12,3221.87,4761069032.04,KS11,Korean Composite Stock Price Index
