Date,High,Low,Open,Close,Marketcap,Symbol,Name
201801,1081.76,1073.78,1063.621,1063.999,248497366105.158,N100,Euronext 100 Index
201802,1071.55,1056.2,1019.352,1018.584,424267490455.967,N100,Euronext 100 Index
201803,1036.83,1029.6,1015.79,1015.225,424454855312.39,N100,Euronext 100 Index
201804,1063.75,1056.16,1038.188,1040.537,231458064875.0,N100,Euronext 100 Index
201805,1090.2,1085.38,1069.716,1069.311,375424634746.208,N100,Euronext 100 Index
201806,1080.94,1069.46,1055.94,1054.801,443539816016.654,N100,Euronext 100 Index
201807,1081.36,1076.47,1061.76,1062.977,260171643903.05,N100,Euronext 100 Index
201808,1084.11,1076.97,1067.886,1066.585,277919291835.644,N100,Euronext 100 Index
201809,1070.67,1061.26,1047.923,1048.113,470713446690.327,N100,Euronext 100 Index
201810,1065.91,1060.33,1006.61,1003.689,340764829227.589,N100,Euronext 100 Index
201811,1005.66,995.84,982.461,979.901,258486190784.152,N100,Euronext 100 Index
201812,993.92,981.93,935.195,932.218,416615773930.207,N100,Euronext 100 Index
201901,976.26,966.11,937.961,940.622,294176819317.304,N100,Euronext 100 Index
201902,1020.44,1014.42,997.761,999.458,248375912838.802,N100,Euronext 100 Index
201903,1056.73,1048.35,1031.553,1032.333,487112893405.75,N100,Euronext 100 Index
201904,1089.06,1082.27,1071.351,1073.294,221368773046.688,N100,Euronext 100 Index
201905,1084.19,1077.86,1047.573,1046.538,308626809632.989,N100,Euronext 100 Index
201906,1080.35,1074.16,1052.092,1055.197,438204426955.278,N100,Euronext 100 Index
201907,1108.48,1093.18,1085.51,1085.294,274913233055.816,N100,Euronext 100 Index
201908,1087.73,1075.06,1041.603,1041.647,347494159839.654,N100,Euronext 100 Index
201909,1100.33,1092.13,1084.088,1085.359,427078217966.994,N100,Euronext 100 Index
201910,1107.2,1097.39,1086.582,1086.056,300670222213.604,N100,Euronext 100 Index
201911,1139.36,1132.37,1125.086,1126.352,321841167506.869,N100,Euronext 100 Index
201912,1160.82,1154.5,1133.915,1133.633,398610014469.124,N100,Euronext 100 Index
202001,1171.47,1165.39,1153.203,1152.79,308432579960.683,N100,Euronext 100 Index
202002,1182.1,1175.04,1144.365,1143.769,774929421986.723,N100,Euronext 100 Index
202003,1061.0,1036.59,878.149,870.706,997890871200.0,N100,Euronext 100 Index
202004,926.99,899.17,873.884,871.287,380100194529.63,N100,Euronext 100 Index
202005,944.62,930.17,892.552,894.368,493240415039.212,N100,Euronext 100 Index
202006,1015.1,1003.09,975.285,977.154,588108728135.35,N100,Euronext 100 Index
202007,1028.53,1016.51,997.056,995.184,315527711058.487,N100,Euronext 100 Index
202008,1008.2,998.02,984.504,984.821,252625382746.848,N100,Euronext 100 Index
202009,1012.24,992.2,976.718,975.557,541106146998.369,N100,Euronext 100 Index
202010,1003.9,994.29,974.075,973.124,370007733015.687,N100,Euronext 100 Index
202011,1105.58,1095.5,1052.171,1058.052,666515239057.949,N100,Euronext 100 Index
202012,1117.0,1111.8,1100.378,1100.84,468488677300.0,N100,Euronext 100 Index
202101,1138.41,1129.18,1119.844,1118.329,349989934827.875,N100,Euronext 100 Index
202102,1163.94,1159.42,1138.617,1139.062,379121311038.378,N100,Euronext 100 Index
202103,1200.22,1194.59,1168.041,1171.046,676308950908.862,N100,Euronext 100 Index
202104,1245.82,1232.68,1224.123,1223.496,290274054106.086,N100,Euronext 100 Index
202105,1259.21,1249.03,1236.235,1236.24,478117489035.84,N100,Euronext 100 Index
202106,1265.66,1258.24,1256.55,1261.1,196404997510.117,N100,Euronext 100 Index
