Date,High,Low,Open,Close,Marketcap,Symbol,Name
201801,13637.02,13539.2,13273.43,13286.101,58993337376194.1,NYA,NYSE Composite Index
201802,13414.78,13324.32,12777.915,12751.995,79035324325548.2,NYA,NYSE Composite Index
201803,12963.42,12881.17,12633.364,12615.261,69643899373012.805,NYA,NYSE Composite Index
201804,12774.37,12722.1,12537.558,12535.192,47706268444243.6,NYA,NYSE Composite Index
201805,12853.33,12771.57,12621.295,12631.362,54438608620929.6,NYA,NYSE Composite Index
201806,12888.98,12842.8,12673.811,12663.169,70252032500758.49,NYA,NYSE Composite Index
201807,12989.46,12929.79,12756.318,12775.177,50556277110316.0,NYA,NYSE Composite Index
201808,13148.42,13075.14,12944.314,12949.496,47926910997794.4,NYA,NYSE Composite Index
201809,13261.77,13228.74,13056.24,13056.047,74366831434123.3,NYA,NYSE Composite Index
201810,13175.61,13101.14,12575.944,12537.022,67359253865547.01,NYA,NYSE Composite Index
201811,12682.06,12580.3,12329.898,12345.419,59712462920579.4,NYA,NYSE Composite Index
201812,12624.75,12500.36,11686.146,11624.261,96061848997500.0,NYA,NYSE Composite Index
201901,12315.14,12196.19,11835.382,11879.584,60561546499822.49,NYA,NYSE Composite Index
201902,12769.64,12697.29,12493.581,12511.604,56147211666274.49,NYA,NYSE Composite Index
201903,12854.82,12728.97,12631.985,12629.326,76649822707046.3,NYA,NYSE Composite Index
201904,13067.03,12990.75,12915.116,12923.504,51214003748119.09,NYA,NYSE Composite Index
201905,13069.09,12977.32,12678.319,12671.638,53863077557474.4,NYA,NYSE Composite Index
201906,13095.57,13037.88,12808.066,12831.183,70987157979417.0,NYA,NYSE Composite Index
201907,13255.13,13220.23,13173.451,13176.115,61284165141088.4,NYA,NYSE Composite Index
201908,13154.38,12890.98,12650.826,12629.438,62645103302524.0,NYA,NYSE Composite Index
201909,13177.88,13110.07,13012.05,13013.638,80315751619831.2,NYA,NYSE Composite Index
201910,13248.65,13183.9,12946.047,12956.901,54839873586319.2,NYA,NYSE Composite Index
201911,13611.49,13563.34,13420.353,13432.911,62552828386085.695,NYA,NYSE Composite Index
201912,13978.61,13928.15,13704.758,13714.165,90221725423694.5,NYA,NYSE Composite Index
202001,14183.26,14156.4,13962.175,13970.267,64219389084399.1,NYA,NYSE Composite Index
202002,14148.24,14108.52,13773.106,13722.132,121163407093685.5,NYA,NYSE Composite Index
202003,13015.66,12673.9,10774.196,10726.108,117722611292550.39,NYA,NYSE Composite Index
202004,11675.3,11513.08,10857.124,10857.137,92002997044773.4,NYA,NYSE Composite Index
202005,11939.74,11783.22,11301.481,11278.529,86862565352468.39,NYA,NYSE Composite Index
202006,12836.68,12688.55,12095.501,12083.005,110621242529747.11,NYA,NYSE Composite Index
202007,12688.69,12533.46,12296.17,12293.773,64931327989821.805,NYA,NYSE Composite Index
202008,13173.97,13066.72,12867.761,12880.783,67024547096834.49,NYA,NYSE Composite Index
202009,13299.73,13112.82,12800.565,12794.494,94011804773288.98,NYA,NYSE Composite Index
202010,13350.59,13274.94,12968.216,12969.733,68486656796622.41,NYA,NYSE Composite Index
202011,14271.09,14165.71,13654.473,13668.401,122112150035842.4,NYA,NYSE Composite Index
202012,14533.21,14472.19,14367.766,14370.375,102725669288666.4,NYA,NYSE Composite Index
202101,15129.12,15037.29,14856.069,14835.825,149446053710164.78,NYA,NYSE Composite Index
202102,15566.47,15370.22,15156.995,15189.239,101385351339673.8,NYA,NYSE Composite Index
202103,15797.94,15639.35,15452.504,15478.212,122039879718771.5,NYA,NYSE Composite Index
202104,16413.279,16273.31,16030.962,16060.345,71204580657639.0,NYA,NYSE Composite Index
202105,16685.891,16531.949,16365.147,16381.963,86785152614599.31,NYA,NYSE Composite Index
