Date,High,Low,Open,Close,Marketcap,Symbol,Name
201801,9616.38,9554.48,9509.581,9501.439,648924854160.7,SSMI,Swiss Market Index
201802,9424.55,9288.05,8961.462,8948.346,1048586720764.066,SSMI,Swiss Market Index
201803,8993.88,8932.54,8783.527,8780.23,1094276371484.727,SSMI,Swiss Market Index
201804,8901.12,8836.85,8757.307,8761.426,737533461214.445,SSMI,Swiss Market Index
201805,9025.88,8979.9,8875.909,8857.533,962142548944.01,SSMI,Swiss Market Index
201806,8697.07,8632.17,8558.067,8559.917,1076319851897.816,SSMI,Swiss Market Index
201807,9199.92,9150.74,8850.074,8875.106,539476864282.134,SSMI,Swiss Market Index
201808,9213.21,9151.86,9077.122,9069.834,568426493642.821,SSMI,Swiss Market Index
201809,9123.38,9030.32,8956.011,8962.912,1157003315974.364,SSMI,Swiss Market Index
201810,9194.99,9123.48,8861.139,8863.705,870933843481.082,SSMI,Swiss Market Index
201811,9130.98,9061.34,8956.095,8943.9,704505363575.93,SSMI,Swiss Market Index
201812,9175.39,9091.84,8702.019,8665.644,1403796079507.478,SSMI,Swiss Market Index
201901,9027.46,8984.09,8808.471,8832.5,700156253385.218,SSMI,Swiss Market Index
201902,9481.45,9390.78,9195.943,9213.405,801592140125.924,SSMI,Swiss Market Index
201903,9582.91,9511.11,9397.906,9402.644,1467227874492.973,SSMI,Swiss Market Index
201904,9785.57,9741.66,9585.897,9597.516,893519446722.999,SSMI,Swiss Market Index
201905,9786.51,9745.44,9598.246,9589.891,713691989846.293,SSMI,Swiss Market Index
201906,10062.65,9978.34,9802.403,9831.185,1103461185382.049,SSMI,Swiss Market Index
201907,10091.48,10047.79,9943.197,9939.535,954117185700.996,SSMI,Swiss Market Index
201908,9941.33,9861.38,9736.873,9737.65,1145831739992.234,SSMI,Swiss Market Index
201909,10140.93,10057.12,10005.153,10009.624,1346523799260.859,SSMI,Swiss Market Index
201910,10287.83,10215.42,9998.087,10003.599,932937467842.688,SSMI,Swiss Market Index
201911,10544.04,10503.73,10353.372,10362.491,784818205873.296,SSMI,Swiss Market Index
201912,10755.68,10708.4,10491.146,10489.884,1150680258115.115,SSMI,Swiss Market Index
202001,10960.75,10893.28,10740.454,10736.34,958208494350.0,SSMI,Swiss Market Index
202002,11270.0,11173.66,10910.497,10875.401,2069176508000.0,SSMI,Swiss Market Index
202003,10321.42,10072.23,9100.067,9063.088,2742764586725.184,SSMI,Swiss Market Index
202004,9948.84,9799.08,9532.216,9540.695,1173806904806.449,SSMI,Swiss Market Index
202005,9966.05,9823.73,9679.01,9676.727,1347282368198.496,SSMI,Swiss Market Index
202006,10291.46,10200.46,10066.622,10080.952,1615878594655.536,SSMI,Swiss Market Index
202007,10535.33,10421.83,10268.986,10267.642,774696533838.656,SSMI,Swiss Market Index
202008,10356.75,10280.94,10194.124,10195.988,593931649275.0,SSMI,Swiss Market Index
202009,10591.66,10519.03,10344.225,10340.046,1518525257973.184,SSMI,Swiss Market Index
202010,10407.01,10316.62,10114.559,10093.247,883413594140.128,SSMI,Swiss Market Index
202011,10644.22,10540.72,10367.619,10411.086,1271295576718.469,SSMI,Swiss Market Index
202012,10749.68,10685.94,10444.667,10446.199,1171633388644.356,SSMI,Swiss Market Index
202101,11014.28,10919.91,10848.057,10844.289,874879701838.478,SSMI,Swiss Market Index
202102,10953.42,10900.18,10757.893,10756.816,711553874159.056,SSMI,Swiss Market Index
202103,11143.86,11091.63,10900.49,10934.702,1603130119072.195,SSMI,Swiss Market Index
202104,11266.78,11197.54,11166.496,11158.949,1116514264518.433,SSMI,Swiss Market Index
202105,11443.97,11326.75,11161.459,11164.539,882055410909.48,SSMI,Swiss Market Index
