Date,High,Low,Open,Close,Marketcap,Symbol,Name
201801,11633.46,11548.68,11370.289,11387.619,1549576866.672,399001.SZ,Shenzhen Composite Index
201802,11171.36,10836.35,10569.537,10570.928,1443339757.22,399001.SZ,Shenzhen Composite Index
201803,11335.3,11260.46,10913.088,10943.795,1682158491.804,399001.SZ,Shenzhen Composite Index
201804,10950.22,10835.71,10613.27,10583.313,1275700598.545,399001.SZ,Shenzhen Composite Index
201805,10789.76,10731.61,10564.917,10565.212,985105067.001,399001.SZ,Shenzhen Composite Index
201806,10411.56,10337.71,9835.376,9812.508,1124448433.56,399001.SZ,Shenzhen Composite Index
201807,9514.94,9436.99,9210.994,9211.436,1169386178.847,399001.SZ,Shenzhen Composite Index
201808,9235.74,9005.37,8635.257,8616.572,911567561.096,399001.SZ,Shenzhen Composite Index
201809,8573.2,8420.88,8276.075,8279.365,763014817.355,399001.SZ,Shenzhen Composite Index
201810,8249.39,8055.98,7566.465,7553.752,1043547790.472,399001.SZ,Shenzhen Composite Index
201811,8116.73,8014.57,7791.147,7802.163,1266209876.88,399001.SZ,Shenzhen Composite Index
201812,7972.98,7890.66,7591.648,7575.545,961541385.588,399001.SZ,Shenzhen Composite Index
201901,7704.85,7578.49,7451.073,7460.956,844451570.741,399001.SZ,Shenzhen Composite Index
201902,9276.45,9036.75,8372.601,8457.025,3179039481.826,399001.SZ,Shenzhen Composite Index
201903,9934.86,9774.75,9603.821,9643.168,3407657100.736,399001.SZ,Shenzhen Composite Index
201904,10541.19,10328.61,10249.106,10234.953,2672191774.005,399001.SZ,Shenzhen Composite Index
201905,9333.92,9211.75,9015.461,9018.277,1567165154.904,399001.SZ,Shenzhen Composite Index
201906,9274.42,9171.35,8961.537,8954.356,1327169490.838,399001.SZ,Shenzhen Composite Index
201907,9560.52,9483.16,9299.596,9297.449,1468495799.962,399001.SZ,Shenzhen Composite Index
201908,9517.65,9375.57,9131.725,9149.155,1400998137.555,399001.SZ,Shenzhen Composite Index
201909,10005.81,9903.42,9766.65,9755.102,1989154942.516,399001.SZ,Shenzhen Composite Index
201910,9840.59,9746.03,9635.216,9633.872,1342256454.722,399001.SZ,Shenzhen Composite Index
201911,10008.51,9891.0,9749.116,9747.032,1122954796.194,399001.SZ,Shenzhen Composite Index
201912,10433.29,10352.89,10021.727,10054.918,2186817592.384,399001.SZ,Shenzhen Composite Index
202001,11115.88,10983.42,10865.698,10878.362,20678871340.764,399001.SZ,Shenzhen Composite Index
202002,11856.08,11856.08,10947.795,11008.471,33199395440.016,399001.SZ,Shenzhen Composite Index
202003,11739.84,11541.78,10676.943,10626.354,31226799990.416,399001.SZ,Shenzhen Composite Index
202004,10751.75,10575.52,10394.92,10421.687,18401620125.0,399001.SZ,Shenzhen Composite Index
202005,11096.62,10978.72,10874.718,10866.553,18642321801.6,399001.SZ,Shenzhen Composite Index
202006,12013.6,11827.76,11364.158,11410.175,22925552135.763,399001.SZ,Shenzhen Composite Index
202007,14151.0,13699.22,13244.536,13294.366,51444545400.0,399001.SZ,Shenzhen Composite Index
202008,14012.71,13779.22,13639.088,13629.015,33673943304.876,399001.SZ,Shenzhen Composite Index
202009,13944.16,13737.83,13175.141,13145.95,27210634136.224,399001.SZ,Shenzhen Composite Index
202010,13820.56,13664.73,13441.922,13454.216,23774126572.314,399001.SZ,Shenzhen Composite Index
202011,14197.85,13934.37,13768.369,13768.608,27012828667.986,399001.SZ,Shenzhen Composite Index
202012,14476.55,14226.28,13898.291,13932.241,26785960113.443,399001.SZ,Shenzhen Composite Index
202101,15895.88,15534.25,15205.223,15236.931,34870791692.756,399001.SZ,Shenzhen Composite Index
202102,16293.09,15697.72,15291.383,15263.093,38215442219.72,399001.SZ,Shenzhen Composite Index
202103,14987.07,14616.16,13935.032,13912.304,27977862854.708,399001.SZ,Shenzhen Composite Index
202104,14529.43,14343.06,14010.674,14040.617,23052393146.154,399001.SZ,Shenzhen Composite Index
202105,14996.38,14836.15,14370.791,14414.323,24768021009.808,399001.SZ,Shenzhen Composite Index
202106,15051.21,14820.74,15004.445,14946.345,22811613815.376,399001.SZ,Shenzhen Composite Index
