Date,High,Low,Open,Close,Marketcap,Symbol,Name
201801,11270.18,11201.52,10996.659,11005.376,38971154350.051,TWII,Taiwan Weighted Index
201802,11212.1,11139.4,10738.532,10717.936,58119039538.396,TWII,Taiwan Weighted Index
201803,11120.2,11015.47,10897.074,10903.176,34156806934.32,TWII,Taiwan Weighted Index
201804,11016.35,10953.31,10809.761,10795.844,32425523442.074,TWII,Taiwan Weighted Index
201805,11034.12,10965.18,10824.385,10817.677,49588439231.292,TWII,Taiwan Weighted Index
201806,11261.68,11188.99,10981.763,10986.51,40125364735.47,TWII,Taiwan Weighted Index
201807,11080.41,11009.16,10834.618,10840.215,29760873648.744,TWII,Taiwan Weighted Index
201808,11186.05,11080.07,10915.278,10909.417,32258330442.078,TWII,Taiwan Weighted Index
201809,11097.11,10989.93,10899.754,10883.765,28859145176.21,TWII,Taiwan Weighted Index
201810,11064.34,11012.95,10119.92,10088.356,48113281794.24,TWII,Taiwan Weighted Index
201811,10014.42,9938.55,9814.161,9821.369,36609714901.544,TWII,Taiwan Weighted Index
201812,10148.75,10061.7,9749.39,9752.16,31004431250.0,TWII,Taiwan Weighted Index
201901,10020.6,9990.07,9753.306,9764.715,22865004190.098,TWII,Taiwan Weighted Index
201902,10416.91,10368.86,10195.948,10210.035,26154778029.728,TWII,Taiwan Weighted Index
201903,10667.94,10589.47,10432.009,10445.221,30094259953.03,TWII,Taiwan Weighted Index
201904,11077.99,11006.68,10897.486,10892.153,32330006687.232,TWII,Taiwan Weighted Index
201905,11097.0,11018.86,10588.386,10574.494,35426062800.0,TWII,Taiwan Weighted Index
201906,10840.29,10773.47,10608.664,10620.023,30143594514.228,TWII,Taiwan Weighted Index
201907,10994.44,10932.53,10842.35,10845.697,27966558121.791,TWII,Taiwan Weighted Index
201908,10773.25,10714.73,10471.436,10469.138,30476446925.0,TWII,Taiwan Weighted Index
201909,10971.54,10905.92,10818.701,10816.571,30961685992.88,TWII,Taiwan Weighted Index
201910,11428.42,11358.71,11130.894,11139.816,29276183309.064,TWII,Taiwan Weighted Index
201911,11668.2,11604.68,11560.893,11558.859,37972990730.88,TWII,Taiwan Weighted Index
201912,12125.9,12059.92,11838.303,11854.08,36001798257.91,TWII,Taiwan Weighted Index
202001,12197.64,12140.27,11995.466,11962.323,59979453450.945,TWII,Taiwan Weighted Index
202002,11854.98,11788.87,11620.433,11623.705,41162863187.934,TWII,Taiwan Weighted Index
202003,11525.32,11454.65,10185.601,10138.089,68070846814.922,TWII,Taiwan Weighted Index
202004,11012.78,10826.26,10292.93,10329.479,43050059353.457,TWII,Taiwan Weighted Index
202005,11087.53,10972.25,10877.391,10876.943,39802016163.246,TWII,Taiwan Weighted Index
202006,11771.12,11637.79,11470.114,11489.677,53916438597.648,TWII,Taiwan Weighted Index
202007,13031.7,12635.71,12258.358,12256.21,58091409981.54,TWII,Taiwan Weighted Index
202008,12981.58,12851.2,12763.9,12743.067,78712512657.072,TWII,Taiwan Weighted Index
202009,13021.68,12948.72,12666.281,12653.02,74372021381.466,TWII,Taiwan Weighted Index
202010,12997.79,12898.89,12824.237,12817.761,55743622144.548,TWII,Taiwan Weighted Index
202011,13969.39,13811.81,13373.193,13393.84,104004899822.18,TWII,Taiwan Weighted Index
202012,14760.06,14646.33,14252.07,14276.876,120400757924.404,TWII,Taiwan Weighted Index
202101,16238.46,15973.02,15559.696,15552.204,126448887708.52,TWII,Taiwan Weighted Index
202102,16579.17,16410.16,16050.701,16080.795,126416170640.0,TWII,Taiwan Weighted Index
202103,16556.189,16438.4,16132.16,16150.146,120717799755.73,TWII,Taiwan Weighted Index
202104,17709.23,17548.301,17105.469,17135.676,265629602434.765,TWII,Taiwan Weighted Index
202105,17546.939,17222.35,16531.173,16504.416,244135832649.685,TWII,Taiwan Weighted Index
