Date,High,Low,Open,Close,Marketcap,Symbol,Name
201801,17712.4,9402.29,13212.074,13085.558,422279550035744.0,BTC,Bitcoin
201802,11958.5,6048.26,9462.243,9472.001,167416612126720.0,BTC,Bitcoin
201803,11704.1,6683.93,9156.592,9040.557,102971615181582.0,BTC,Bitcoin
201804,9745.32,6526.87,7963.618,8033.597,108008361114720.0,BTC,Bitcoin
201805,9964.5,7090.68,8505.241,8450.998,101710636704768.0,BTC,Bitcoin
201806,7754.89,5826.41,6829.258,6793.508,45015895964917.51,BTC,Bitcoin
201807,8424.27,6136.42,7101.466,7146.35,61309220911788.0,BTC,Bitcoin
201808,7769.04,5971.05,6723.801,6700.13,44013553860000.0,BTC,Bitcoin
201809,7388.43,6197.52,6622.821,6610.675,48260781454200.0,BTC,Bitcoin
2018010,6965.06,6236.47,6494.016,6485.119,51337855296200.0,BTC,Bitcoin
2018011,6552.16,3585.06,5481.615,5404.25,55223504606400.0,BTC,Bitcoin
2018012,4309.377,3191.304,3726.475,3717.488,38470368377844.52,BTC,Bitcoin
201901,4109.021,3400.82,3709.706,3701.555,28388940894289.375,BTC,Bitcoin
201902,4210.642,3391.024,3697.178,3711.907,45450624814121.02,BTC,Bitcoin
201903,4296.807,3733.75,3967.74,3976.069,46915394775556.95,BTC,Bitcoin
201904,5642.045,4096.901,5136.813,5178.469,129202209485461.08,BTC,Bitcoin
201905,9008.315,5347.646,7205.208,7309.694,298780549164101.9,BTC,Bitcoin
201906,13796.489,7564.489,9339.48,9415.9,622300755200873.9,BTC,Bitcoin
201907,13129.529,9163.135,10691.706,10669.336,441514209014212.9,BTC,Bitcoin
201908,12273.821,9421.63,10657.746,10643.248,293049622158385.0,BTC,Bitcoin
201909,10898.762,7830.759,9858.142,9814.068,272500515843605.0,BTC,Bitcoin
2019010,10021.744,7446.989,8382.432,8411.929,445930081913046.4,BTC,Bitcoin
2019011,9505.052,6617.167,8427.103,8373.572,405725328952969.06,BTC,Bitcoin
2019012,7743.432,6540.049,7296.352,7284.013,246523940486137.03,BTC,Bitcoin
202001,9553.126,6914.996,8318.95,8389.27,428379219582648.0,BTC,Bitcoin
202002,10457.627,8492.932,9656.215,9630.722,527274094258135.5,BTC,Bitcoin
202003,9167.696,4106.981,6943.507,6871.016,679846727613599.8,BTC,Bitcoin
202004,9440.651,6202.374,7150.611,7224.477,632189674963762.4,BTC,Bitcoin
202005,9996.743,8374.323,9237.762,9263.152,633046565291109.1,BTC,Bitcoin
202006,10199.565,8975.526,9499.797,9489.227,399182945704058.9,BTC,Bitcoin
202007,11415.864,8977.016,9519.384,9589.9,403662088710385.44,BTC,Bitcoin
202008,12359.057,11012.415,11639.097,11652.394,348867593565831.7,BTC,Bitcoin
202009,12067.081,9916.493,10689.7,10660.277,656526972850306.5,BTC,Bitcoin
2020010,14028.214,10416.689,11791.307,11886.978,999535196451719.9,BTC,Bitcoin
2020011,19749.264,13243.16,16450.122,16645.757,1212542298961282.5,BTC,Bitcoin
2020012,29244.877,17619.532,21680.541,21983.137,2087458541547898.5,BTC,Bitcoin
202101,41946.739,28722.755,34652.961,34761.65,5172895697261568.0,BTC,Bitcoin
202102,58330.572,32384.228,45874.967,46306.799,2.04721608299209e+16,BTC,Bitcoin
202103,61683.864,45115.093,54544.678,54998.009,4352859035901057.0,BTC,Bitcoin
202104,64863.099,47159.486,57251.256,57206.72,6322133134148179.0,BTC,Bitcoin
202105,59519.354,30681.497,47105.828,46443.286,7520752463847942.0,BTC,Bitcoin
202106,41295.269,28893.622,35920.547,35845.155,2434948795863549.5,BTC,Bitcoin
202107,35937.567,32770.681,34352.237,34234.448,1391825137530884.8,BTC,Bitcoin
